Componente;Fórmula;Simbolo;Peso Molecular(lbs/lb-mol);Temp. Crítica (oR);Pres. Crítica (lpca);Vol. Crítico (pie3/lbs);Grav. Espec del Gas (aire=1);Grav. Espec del Líquido (agua=1)
Metano;CH4;C1;16.043;343.37;667.8;0.0988;0.554;
Etano;C2H6;C2;30.070;550.09;707.8;0.0783;1.038;0.356
Propano;C3H8;C3;44.097;666.01;616.3;0.0727;1.523;0.508
n-Butano;nC4H10;n-C4;58.124;765.65;550.7;0.0703;2.007;0.508
i-Butano;iC4H10;i-C4;58.124;734.98;529.1;0.0714;2.007;0.563
n-Pentano;nC5H12;n-C5;72.151;845.70;488.6;0.0675;2.491;0.631
i-Pentano;iC5H12;i-C5;72.151;829.10;490.4;0.0679;2.491;0.625
n-Hexano;nC6H14;C6;86.178;913.70;436.9;0.0688;2.975;0.664
n-Heptano;nC7H16;C7;100.205;972.80;396.8;0.0691;3.460;0.688
n-Octano;nC8H18;C8;114.232;1024.22;360.6;0.0690;3.944;0.707
n-Nonano;nC9H20;C9;128.259;1070.68;332.0;0.0684;4.428;0.722
n-Decano;nC10H22;C10;142.286;1112.10;304.0;0.0679;4.913;0.734
Dióxido de carbono;CO2;CO2;44.010;547.90;1071.0;0.0344;1.520;0.818
Helio;He;He;4.003;9.69;32.99;0.2300;0.138;0.138
Sulfuro de hidrógeno;H2S;H2S;34.076;672.70;1306.0;0.0461;1.177;0.801
Nitrógeno;N2;N2;28.013;227.60;493.0;0.0510;0.967;
Oxigeno;O2;O2;31.999;278.57;731.4;0.0367;1.105;1.142
Aire;N2+O2;N2+O2;28.963;238.69;546.9;0.0517;1.000;0.875
Agua;H2O;H2O;18.015;1165.16;3198.8;0.0497;0.622;1.000
Condensados;C7+;C7+;0;0;0;0;0;0